ref_gene_id	ref_id	class_code	qry_gene_id	qry_id	num_exons	FPKM	TPM	cov	len	major_iso_id	ref_match_len
Fxa2Cg00636	Fxa2Cg00636-mRNA-1	o	gene_51379	mRNA_51379	3	0.000000	0.000000	0.000000	744	mRNA_51379	1089
Fxa2Dg00210	Fxa2Dg00210-mRNA-1	o	gene_49987	mRNA_49987	3	0.000000	0.000000	0.000000	954	mRNA_49987	957
Fxa2Dg00213	Fxa2Dg00213-mRNA-1	o	gene_49970	mRNA_49970	2	0.000000	0.000000	0.000000	849	mRNA_49970	861
Fxa2Dg01359	Fxa2Dg01359-mRNA-1	o	gene_49376	mRNA_49376	4	0.000000	0.000000	0.000000	843	mRNA_49376	1246
Fxa2Dg03205	Fxa2Dg03205-mRNA-1	o	gene_50413	mRNA_50413	3	0.000000	0.000000	0.000000	744	mRNA_50413	1090
Fxa3Ag00839	Fxa3Ag00839-mRNA-1	o	gene_48239	mRNA_48239	5	0.000000	0.000000	0.000000	810	mRNA_48239	1487
Fxa3Ag00840	Fxa3Ag00840-mRNA-1	o	gene_48605	mRNA_48605	6	0.000000	0.000000	0.000000	813	mRNA_48605	855
Fxa3Ag00841	Fxa3Ag00841-mRNA-1	o	gene_48789	mRNA_48789	4	0.000000	0.000000	0.000000	531	mRNA_48789	765
Fxa3Ag03208	Fxa3Ag03208-mRNA-1	o	gene_47396	mRNA_47396	4	0.000000	0.000000	0.000000	843	mRNA_47396	1390
Fxa3Ag03414	Fxa3Ag03414-mRNA-1	o	gene_47901	mRNA_47901	3	0.000000	0.000000	0.000000	762	mRNA_47901	1111
Fxa3Bg00729	Fxa3Bg00729-mRNA-1	o	gene_46540	mRNA_46540	5	0.000000	0.000000	0.000000	810	mRNA_46540	1481
Fxa3Bg00730	Fxa3Bg00730-mRNA-1	o	gene_46635	mRNA_46635	5	0.000000	0.000000	0.000000	813	mRNA_46635	816
Fxa3Bg03093	Fxa3Bg03093-mRNA-1	o	gene_45429	mRNA_45429	4	0.000000	0.000000	0.000000	843	mRNA_45429	1399
Fxa3Bg03276	Fxa3Bg03276-mRNA-1	o	gene_46040	mRNA_46040	3	0.000000	0.000000	0.000000	762	mRNA_46040	1118
Fxa3Cg00714	Fxa3Cg00714-mRNA-1	o	gene_44780	mRNA_44780	5	0.000000	0.000000	0.000000	810	mRNA_44780	1250
Fxa3Cg00715	Fxa3Cg00715-mRNA-1	o	gene_44721	mRNA_44721	5	0.000000	0.000000	0.000000	813	mRNA_44721	868
Fxa3Cg03061	Fxa3Cg03061-mRNA-1	o	gene_43267	mRNA_43267	4	0.000000	0.000000	0.000000	843	mRNA_43267	1400
Fxa3Cg03258	Fxa3Cg03258-mRNA-1	o	gene_44038	mRNA_44038	3	0.000000	0.000000	0.000000	762	mRNA_44038	1113
Fxa3Dg00712	Fxa3Dg00712-mRNA-1	o	gene_42184	mRNA_42184	5	0.000000	0.000000	0.000000	810	mRNA_42184	1017
Fxa3Dg00713	Fxa3Dg00713-mRNA-1	o	gene_42542	mRNA_42542	5	0.000000	0.000000	0.000000	813	mRNA_42542	868
Fxa3Dg02827	Fxa3Dg02827-mRNA-1	o	gene_41273	mRNA_41273	4	0.000000	0.000000	0.000000	843	mRNA_41273	1398
Fxa3Dg02998	Fxa3Dg02998-mRNA-1	o	gene_41882	mRNA_41882	3	0.000000	0.000000	0.000000	762	mRNA_41882	1112
Fxa4Ag01484	Fxa4Ag01484-mRNA-1	o	gene_40329	mRNA_40329	5	0.000000	0.000000	0.000000	1023	mRNA_40329	603
Fxa4Ag03283	Fxa4Ag03283-mRNA-1	o	gene_40751	mRNA_40751	5	0.000000	0.000000	0.000000	849	mRNA_40751	522
Fxa4Bg01616	Fxa4Bg01616-mRNA-1	o	gene_39316	mRNA_39316	5	0.000000	0.000000	0.000000	873	mRNA_39316	876
Fxa4Bg03148	Fxa4Bg03148-mRNA-1	o	gene_39706	mRNA_39706	5	0.000000	0.000000	0.000000	852	mRNA_39706	261
Fxa4Cg01442	Fxa4Cg01442-mRNA-1	o	gene_38300	mRNA_38300	5	0.000000	0.000000	0.000000	813	mRNA_38300	855
Fxa4Cg03033	Fxa4Cg03033-mRNA-1	o	gene_38688	mRNA_38688	5	0.000000	0.000000	0.000000	849	mRNA_38688	744
Fxa4Dg01302	Fxa4Dg01302-mRNA-1	o	gene_37056	mRNA_37056	5	0.000000	0.000000	0.000000	813	mRNA_37056	852
Fxa4Dg02771	Fxa4Dg02771-mRNA-1	o	gene_37544	mRNA_37544	5	0.000000	0.000000	0.000000	849	mRNA_37544	744
Fxa5Ag00335	Fxa5Ag00335-mRNA-1	o	gene_35428	mRNA_35428	4	0.000000	0.000000	0.000000	858	mRNA_35428	1172
Fxa5Ag01079	Fxa5Ag01079-mRNA-1	o	gene_36074	mRNA_36074	3	0.000000	0.000000	0.000000	903	mRNA_36074	2155
Fxa5Ag02048	Fxa5Ag02048-mRNA-1	o	gene_36594	mRNA_36594	3	0.000000	0.000000	0.000000	780	mRNA_36594	1384
Fxa5Ag02099	Fxa5Ag02099-mRNA-1	o	gene_34967	mRNA_34967	3	0.000000	0.000000	0.000000	747	mRNA_34967	1195
Fxa5Ag03930	Fxa5Ag03930-mRNA-1	o	gene_35805	mRNA_35805	5	0.000000	0.000000	0.000000	660	mRNA_35805	537
Fxa5Bg00282	Fxa5Bg00282-mRNA-1	o	gene_33716	mRNA_33716	4	0.000000	0.000000	0.000000	858	mRNA_33716	1248
Fxa5Bg01013	Fxa5Bg01013-mRNA-1	o	gene_34303	mRNA_34303	3	0.000000	0.000000	0.000000	903	mRNA_34303	1412
Fxa5Bg01989	Fxa5Bg01989-mRNA-1	o	gene_32733	mRNA_32733	3	0.000000	0.000000	0.000000	780	mRNA_32733	402
Fxa5Bg02045	Fxa5Bg02045-mRNA-1	o	gene_33243	mRNA_33243	3	0.000000	0.000000	0.000000	747	mRNA_33243	1222
Fxa5Bg03706	Fxa5Bg03706-mRNA-1	o	gene_34158	mRNA_34158	4	0.000000	0.000000	0.000000	435	mRNA_34158	729
Fxa5Cg00258	Fxa5Cg00258-mRNA-1	o	gene_30981	mRNA_30981	4	0.000000	0.000000	0.000000	858	mRNA_30981	1174
Fxa5Cg00895	Fxa5Cg00895-mRNA-1	o	gene_31465	mRNA_31465	3	0.000000	0.000000	0.000000	903	mRNA_31465	1836
Fxa5Cg01763	Fxa5Cg01763-mRNA-1	o	gene_32164	mRNA_32164	3	0.000000	0.000000	0.000000	780	mRNA_32164	783
Fxa5Cg01808	Fxa5Cg01808-mRNA-1	o	gene_30540	mRNA_30540	3	0.000000	0.000000	0.000000	747	mRNA_30540	1195
Fxa5Cg03343	Fxa5Cg03343-mRNA-1	o	gene_31053	mRNA_31053	3	0.000000	0.000000	0.000000	483	mRNA_31053	426
Fxa5Dg00262	Fxa5Dg00262-mRNA-1	o	gene_29788	mRNA_29788	4	0.000000	0.000000	0.000000	858	mRNA_29788	1174
Fxa5Dg01809	Fxa5Dg01809-mRNA-1	o	gene_28817	mRNA_28817	3	0.000000	0.000000	0.000000	780	mRNA_28817	783
Fxa5Dg01850	Fxa5Dg01850-mRNA-1	o	gene_29310	mRNA_29310	3	0.000000	0.000000	0.000000	747	mRNA_29310	1198
Fxa6Ag00070	Fxa6Ag00070-mRNA-1	o	gene_27158	mRNA_27158	3	0.000000	0.000000	0.000000	711	mRNA_27158	1195
Fxa6Ag00747	Fxa6Ag00747-mRNA-1	o	gene_26679	mRNA_26679	5	0.000000	0.000000	0.000000	816	mRNA_26679	1613
Fxa6Ag00748	Fxa6Ag00748-mRNA-1	o	gene_27082	mRNA_27082	5	0.000000	0.000000	0.000000	813	mRNA_27082	1183
Fxa6Ag01549	Fxa6Ag01549-mRNA-1	o	gene_27801	mRNA_27801	4	0.000000	0.000000	0.000000	861	mRNA_27801	951
Fxa6Ag01550	Fxa6Ag01550-mRNA-1	o	gene_28002	mRNA_28002	4	0.000000	0.000000	0.000000	852	mRNA_28002	1315
Fxa6Ag01681	Fxa6Ag01681-mRNA-1	o	gene_23048	mRNA_23048	2	0.000000	0.000000	0.000000	759	mRNA_23048	1091
Fxa6Ag02836	Fxa6Ag02836-mRNA-1	o	gene_23294	mRNA_23294	5	0.000000	0.000000	0.000000	918	mRNA_23294	1321
Fxa6Ag03173	Fxa6Ag03173-mRNA-1	o	gene_23852	mRNA_23852	3	0.000000	0.000000	0.000000	744	mRNA_23852	1082
Fxa6Ag04017	Fxa6Ag04017-mRNA-1	o	gene_24155	mRNA_24155	5	0.000000	0.000000	0.000000	771	mRNA_24155	717
Fxa6Ag04289	Fxa6Ag04289-mRNA-1	=	gene_24472	mRNA_24472	1	0.000000	0.000000	0.000000	723	mRNA_24472	726
Fxa6Ag04290	Fxa6Ag04290-mRNA-1	=	gene_24459	mRNA_24459	1	0.000000	0.000000	0.000000	723	mRNA_24459	726
Fxa6Ag04860	Fxa6Ag04860-mRNA-1	o	gene_24856	mRNA_24856	5	0.000000	0.000000	0.000000	822	mRNA_24856	892
Fxa6Ag04861	Fxa6Ag04861-mRNA-1	o	gene_25292	mRNA_25292	5	0.000000	0.000000	0.000000	849	mRNA_25292	1004
Fxa6Ag04862	Fxa6Ag04862-mRNA-1	o	gene_25656	mRNA_25656	5	0.000000	0.000000	0.000000	843	mRNA_25656	537
Fxa6Ag04864	Fxa6Ag04864-mRNA-1	o	gene_26306	mRNA_26306	5	0.000000	0.000000	0.000000	663	mRNA_26306	246
Fxa6Bg00716	Fxa6Bg00716-mRNA-1	o	gene_20968	mRNA_20968	5	0.000000	0.000000	0.000000	807	mRNA_20968	1183
Fxa6Bg01475	Fxa6Bg01475-mRNA-1	o	gene_21389	mRNA_21389	4	0.000000	0.000000	0.000000	852	mRNA_21389	1198
Fxa6Bg01476	Fxa6Bg01476-mRNA-1	o	gene_21806	mRNA_21806	4	0.000000	0.000000	0.000000	852	mRNA_21806	1270
Fxa6Bg01580	Fxa6Bg01580-mRNA-1	o	gene_22501	mRNA_22501	2	0.000000	0.000000	0.000000	759	mRNA_22501	1091
Fxa6Bg02677	Fxa6Bg02677-mRNA-1	o	gene_18621	mRNA_18621	5	0.000000	0.000000	0.000000	918	mRNA_18621	1537
Fxa6Bg02964	Fxa6Bg02964-mRNA-1	o	gene_19165	mRNA_19165	3	0.000000	0.000000	0.000000	744	mRNA_19165	1085
Fxa6Bg03993	Fxa6Bg03993-mRNA-1	=	gene_19360	mRNA_19360	1	0.000000	0.000000	0.000000	723	mRNA_19360	726
Fxa6Bg04002	Fxa6Bg04002-mRNA-1	o	gene_19416	mRNA_19416	2	0.000000	0.000000	0.000000	720	mRNA_19416	678
Fxa6Bg04544	Fxa6Bg04544-mRNA-1	o	gene_19842	mRNA_19842	5	0.000000	0.000000	0.000000	822	mRNA_19842	564
Fxa6Bg04546	Fxa6Bg04546-mRNA-1	o	gene_20242	mRNA_20242	5	0.000000	0.000000	0.000000	846	mRNA_20242	1000
Fxa6Cg00057	Fxa6Cg00057-mRNA-1	o	gene_16625	mRNA_16625	3	0.000000	0.000000	0.000000	711	mRNA_16625	1099
Fxa6Cg01396	Fxa6Cg01396-mRNA-1	o	gene_17401	mRNA_17401	4	0.000000	0.000000	0.000000	861	mRNA_17401	1463
Fxa6Cg01397	Fxa6Cg01397-mRNA-1	o	gene_17700	mRNA_17700	4	0.000000	0.000000	0.000000	852	mRNA_17700	1356
Fxa6Cg01508	Fxa6Cg01508-mRNA-1	o	gene_17850	mRNA_17850	2	0.000000	0.000000	0.000000	759	mRNA_17850	1087
Fxa6Cg02462	Fxa6Cg02462-mRNA-1	o	gene_15498	mRNA_15498	5	0.000000	0.000000	0.000000	918	mRNA_15498	1537
Fxa6Cg03541	Fxa6Cg03541-mRNA-1	=	gene_15531	mRNA_15531	1	0.000000	0.000000	0.000000	723	mRNA_15531	726
Fxa6Cg03543	Fxa6Cg03543-mRNA-1	=	gene_15882	mRNA_15882	1	0.000000	0.000000	0.000000	723	mRNA_15882	726
Fxa6Cg04054	Fxa6Cg04054-mRNA-1	o	gene_16151	mRNA_16151	6	0.000000	0.000000	0.000000	822	mRNA_16151	564
Fxa6Cg04057	Fxa6Cg04057-mRNA-1	o	gene_16526	mRNA_16526	5	0.000000	0.000000	0.000000	849	mRNA_16526	939
Fxa6Dg00623	Fxa6Dg00623-mRNA-1	o	gene_14250	mRNA_14250	5	0.000000	0.000000	0.000000	816	mRNA_14250	1620
Fxa6Dg00624	Fxa6Dg00624-mRNA-1	o	gene_14568	mRNA_14568	5	0.000000	0.000000	0.000000	813	mRNA_14568	1187
Fxa6Dg01485	Fxa6Dg01485-mRNA-1	o	gene_15122	mRNA_15122	2	0.000000	0.000000	0.000000	759	mRNA_15122	1086
Fxa6Dg02490	Fxa6Dg02490-mRNA-1	o	gene_12291	mRNA_12291	5	0.000000	0.000000	0.000000	918	mRNA_12291	1537
Fxa6Dg02788	Fxa6Dg02788-mRNA-1	o	gene_12792	mRNA_12792	3	0.000000	0.000000	0.000000	744	mRNA_12792	1085
Fxa6Dg03788	Fxa6Dg03788-mRNA-1	=	gene_13095	mRNA_13095	1	0.000000	0.000000	0.000000	723	mRNA_13095	726
Fxa6Dg03790	Fxa6Dg03790-mRNA-1	=	gene_13018	mRNA_13018	1	0.000000	0.000000	0.000000	444	mRNA_13018	447
Fxa6Dg04288	Fxa6Dg04288-mRNA-1	o	gene_13461	mRNA_13461	5	0.000000	0.000000	0.000000	846	mRNA_13461	1000
Fxa6Dg04289	Fxa6Dg04289-mRNA-1	o	gene_13880	mRNA_13880	5	0.000000	0.000000	0.000000	822	mRNA_13880	882
Fxa7Ag00344	Fxa7Ag00344-mRNA-1	o	gene_11695	mRNA_11695	3	0.000000	0.000000	0.000000	762	mRNA_11695	997
Fxa7Ag01470	Fxa7Ag01470-mRNA-1	o	gene_9287	mRNA_9287	4	0.000000	0.000000	0.000000	861	mRNA_9287	1196
Fxa7Ag01972	Fxa7Ag01972-mRNA-1	o	gene_9710	mRNA_9710	4	0.000000	0.000000	0.000000	855	mRNA_9710	1350
Fxa7Ag02144	Fxa7Ag02144-mRNA-1	o	gene_10259	mRNA_10259	3	0.000000	0.000000	0.000000	756	mRNA_10259	759
Fxa7Ag02374	Fxa7Ag02374-mRNA-1	o	gene_10680	mRNA_10680	4	0.000000	0.000000	0.000000	870	mRNA_10680	1100
Fxa7Ag02742	Fxa7Ag02742-mRNA-1	o	gene_11228	mRNA_11228	3	0.000000	0.000000	0.000000	759	mRNA_11228	762
Fxa7Bg00386	Fxa7Bg00386-mRNA-1	o	gene_8797	mRNA_8797	3	0.000000	0.000000	0.000000	762	mRNA_8797	990
Fxa7Bg01478	Fxa7Bg01478-mRNA-1	o	gene_6163	mRNA_6163	4	0.000000	0.000000	0.000000	861	mRNA_6163	1186
Fxa7Bg01892	Fxa7Bg01892-mRNA-1	o	gene_6610	mRNA_6610	4	0.000000	0.000000	0.000000	861	mRNA_6610	1489
Fxa7Bg02050	Fxa7Bg02050-mRNA-1	o	gene_7171	mRNA_7171	3	0.000000	0.000000	0.000000	756	mRNA_7171	759
Fxa7Bg02233	Fxa7Bg02233-mRNA-1	o	gene_7562	mRNA_7562	4	0.000000	0.000000	0.000000	870	mRNA_7562	1333
Fxa7Bg02566	Fxa7Bg02566-mRNA-1	o	gene_8210	mRNA_8210	3	0.000000	0.000000	0.000000	759	mRNA_8210	762
Fxa7Cg00335	Fxa7Cg00335-mRNA-1	o	gene_5665	mRNA_5665	3	0.000000	0.000000	0.000000	762	mRNA_5665	996
Fxa7Cg01379	Fxa7Cg01379-mRNA-1	o	gene_3001	mRNA_3001	4	0.000000	0.000000	0.000000	861	mRNA_3001	1192
Fxa7Cg01769	Fxa7Cg01769-mRNA-1	o	gene_3457	mRNA_3457	4	0.000000	0.000000	0.000000	861	mRNA_3457	1514
Fxa7Cg01932	Fxa7Cg01932-mRNA-1	o	gene_4038	mRNA_4038	3	0.000000	0.000000	0.000000	756	mRNA_4038	759
Fxa7Cg02122	Fxa7Cg02122-mRNA-1	o	gene_4380	mRNA_4380	4	0.000000	0.000000	0.000000	870	mRNA_4380	1332
Fxa7Cg02454	Fxa7Cg02454-mRNA-1	o	gene_4934	mRNA_4934	3	0.000000	0.000000	0.000000	759	mRNA_4934	765
Fxa7Dg00308	Fxa7Dg00308-mRNA-1	o	gene_2489	mRNA_2489	3	0.000000	0.000000	0.000000	762	mRNA_2489	1000
Fxa7Dg01388	Fxa7Dg01388-mRNA-1	o	gene_375	mRNA_375	3	0.000000	0.000000	0.000000	681	mRNA_375	1716
Fxa7Dg01838	Fxa7Dg01838-mRNA-1	o	gene_757	mRNA_757	4	0.000000	0.000000	0.000000	861	mRNA_757	1383
Fxa7Dg01994	Fxa7Dg01994-mRNA-1	o	gene_1412	mRNA_1412	3	0.000000	0.000000	0.000000	756	mRNA_1412	759
Fxa7Dg02199	Fxa7Dg02199-mRNA-1	o	gene_1730	mRNA_1730	4	0.000000	0.000000	0.000000	870	mRNA_1730	1100
